x-coordinate,y-coordinate,Similarity_score
188/204/82/129/3F72463903BDE694C34FCF626FF569CFD74161915499DAD20A269C42C0A0352F,202/112/236/104/A38F684D1D8B69B5F29BFFBEEC0EBA6F7F5477F91DCC4E264799FB97B1A4BF1B,1.0
aero/weather/012BF7DD771220A201F87831EFFF680E08EE7684CD3052F4BA9D0A7A335D7456,aero/weather/0180D1B45F2E86D663808A909AA44E54F1DBCB08E3621CA316F31D25CA1E5C40,1.0
aero/weather/012BF7DD771220A201F87831EFFF680E08EE7684CD3052F4BA9D0A7A335D7456,aero/weather/144E1E230CE89490EA81E022A29275A964B32FCADA04C34D5650B73D1F442AE9,1.0
aero/weather/012BF7DD771220A201F87831EFFF680E08EE7684CD3052F4BA9D0A7A335D7456,aero/weather/55E2EAA3EB7D74A905F293EEE14CA5F1A8FBA07EAB89CE8AE9A26471814A5905,1.0
aero/weather/012BF7DD771220A201F87831EFFF680E08EE7684CD3052F4BA9D0A7A335D7456,aero/weather/596B2F05E5994B58F834CE902B378E8F39D98DC74957D4819BEC44A25CBE18FD,1.0
aero/weather/012BF7DD771220A201F87831EFFF680E08EE7684CD3052F4BA9D0A7A335D7456,aero/weather/6E4DCBA587A28D00F7884D4D00949470E48B0D938D2D2438E9EF608798969E9F,1.0
aero/weather/012BF7DD771220A201F87831EFFF680E08EE7684CD3052F4BA9D0A7A335D7456,aero/weather/7AF2DBBB83CB2FEB12694CDEDA00D592CE0AD60AE78E61EA894B6862124A2747,1.0
aero/weather/012BF7DD771220A201F87831EFFF680E08EE7684CD3052F4BA9D0A7A335D7456,aero/weather/8DEBD215F0045E71E164813E34ADCD372D19A635095D4BD358FE0A8471C53118,1.0
aero/weather/012BF7DD771220A201F87831EFFF680E08EE7684CD3052F4BA9D0A7A335D7456,aero/weather/9439985FD858D8800B94F3F50D44C9F883007B7B30E5B65DB4F33318157E269A,1.0
aero/weather/012BF7DD771220A201F87831EFFF680E08EE7684CD3052F4BA9D0A7A335D7456,aero/weather/982DA6E97F400B68807A0C5157F1F887F4BE4108A64376D2A732C9D6D398A406,1.0
aero/weather/012BF7DD771220A201F87831EFFF680E08EE7684CD3052F4BA9D0A7A335D7456,aero/weather/9D875D4321DA1BAB60B7DA208B3548E281773B45BE884584107E15408B0B398A,1.0
aero/weather/0180D1B45F2E86D663808A909AA44E54F1DBCB08E3621CA316F31D25CA1E5C40,aero/weather/144E1E230CE89490EA81E022A29275A964B32FCADA04C34D5650B73D1F442AE9,1.0
aero/weather/0180D1B45F2E86D663808A909AA44E54F1DBCB08E3621CA316F31D25CA1E5C40,aero/weather/55E2EAA3EB7D74A905F293EEE14CA5F1A8FBA07EAB89CE8AE9A26471814A5905,1.0
aero/weather/0180D1B45F2E86D663808A909AA44E54F1DBCB08E3621CA316F31D25CA1E5C40,aero/weather/596B2F05E5994B58F834CE902B378E8F39D98DC74957D4819BEC44A25CBE18FD,1.0
aero/weather/0180D1B45F2E86D663808A909AA44E54F1DBCB08E3621CA316F31D25CA1E5C40,aero/weather/6E4DCBA587A28D00F7884D4D00949470E48B0D938D2D2438E9EF608798969E9F,1.0
aero/weather/0180D1B45F2E86D663808A909AA44E54F1DBCB08E3621CA316F31D25CA1E5C40,aero/weather/7AF2DBBB83CB2FEB12694CDEDA00D592CE0AD60AE78E61EA894B6862124A2747,1.0
aero/weather/0180D1B45F2E86D663808A909AA44E54F1DBCB08E3621CA316F31D25CA1E5C40,aero/weather/8DEBD215F0045E71E164813E34ADCD372D19A635095D4BD358FE0A8471C53118,1.0
aero/weather/0180D1B45F2E86D663808A909AA44E54F1DBCB08E3621CA316F31D25CA1E5C40,aero/weather/9439985FD858D8800B94F3F50D44C9F883007B7B30E5B65DB4F33318157E269A,1.0
aero/weather/0180D1B45F2E86D663808A909AA44E54F1DBCB08E3621CA316F31D25CA1E5C40,aero/weather/982DA6E97F400B68807A0C5157F1F887F4BE4108A64376D2A732C9D6D398A406,1.0
aero/weather/0180D1B45F2E86D663808A909AA44E54F1DBCB08E3621CA316F31D25CA1E5C40,aero/weather/9D875D4321DA1BAB60B7DA208B3548E281773B45BE884584107E15408B0B398A,1.0
aero/weather/144E1E230CE89490EA81E022A29275A964B32FCADA04C34D5650B73D1F442AE9,aero/weather/55E2EAA3EB7D74A905F293EEE14CA5F1A8FBA07EAB89CE8AE9A26471814A5905,1.0
aero/weather/144E1E230CE89490EA81E022A29275A964B32FCADA04C34D5650B73D1F442AE9,aero/weather/596B2F05E5994B58F834CE902B378E8F39D98DC74957D4819BEC44A25CBE18FD,1.0
aero/weather/144E1E230CE89490EA81E022A29275A964B32FCADA04C34D5650B73D1F442AE9,aero/weather/6E4DCBA587A28D00F7884D4D00949470E48B0D938D2D2438E9EF608798969E9F,1.0
aero/weather/144E1E230CE89490EA81E022A29275A964B32FCADA04C34D5650B73D1F442AE9,aero/weather/7AF2DBBB83CB2FEB12694CDEDA00D592CE0AD60AE78E61EA894B6862124A2747,1.0
